xcl,ycl,xvcl,yvcl,xlt,ylt,xvlt,yvlt,xtt,ytt,xvtt,yvtt
14.734168,42.925733,-0.000000,0.0000000.164928,0.075597,14.663448,42.769251,-0.000000194,0.000000052,14.809388,43.017448,-0.000000,0.000000
14.540029,42.978818,-0.000000,0.0000000.167973,0.085025,14.492338,42.888346,-0.000000194,0.000000051,14.536206,43.128019,-0.000000,0.000000
14.345628,43.031128,-0.000000,0.0000000.131764,0.183407,14.340470,42.900175,-0.000000194,0.000000051,14.444432,43.185441,-0.000000,0.000000
14.150968,43.082662,-0.000000,0.0000000.187673,0.040485,14.118080,42.949053,-0.000000195,0.000000050,14.172706,43.207478,-0.000000,0.000000
13.956053,43.133419,-0.000000,0.0000000.068705,0.130668,13.840282,43.020626,-0.000000195,0.000000050,13.975784,43.277949,-0.000000,0.000000
13.760886,43.183397,-0.000000,0.0000000.182591,0.139585,13.698024,43.076266,-0.000000195,0.000000048,13.820488,43.291990,-0.000000,0.000000
13.565470,43.232596,-0.000000,0.0000000.161044,0.145306,13.533279,43.070344,-0.000000195,0.000000048,13.684035,43.373774,-0.000000,0.000000
13.369810,43.281013,-0.000000,0.0000000.156256,0.150903,13.332426,43.169202,-0.000000196,0.000000047,13.375064,43.446802,-0.000000,0.000000
13.173907,43.328648,-0.000000,0.0000000.135819,0.037042,13.108780,43.174192,-0.000000196,0.000000046,13.236575,43.417394,-0.000000,0.000000
12.977767,43.375500,-0.000000,0.0000000.086585,0.093174,12.948734,43.239564,-0.000000196,0.000000046,13.035400,43.512260,-0.000000,0.000000
12.781392,43.421567,-0.000000,0.0000000.070076,0.075766,12.762684,43.286926,-0.000000196,0.000000045,12.810167,43.544968,-0.000000,0.000000
12.584785,43.466848,-0.000000,0.0000000.074736,0.132696,12.554055,43.294346,-0.000000196,0.000000044,12.663267,43.643297,-0.000000,0.000000
12.387950,43.511342,-0.000000,0.0000000.159118,0.145215,12.292704,43.388381,-0.000000197,0.000000043,12.439443,43.666731,-0.000000,0.000000
12.190892,43.555048,-0.000000,0.0000000.068070,0.107262,12.186763,43.421756,-0.000000197,0.000000042,12.279184,43.678447,-0.000000,0.000000
11.993612,43.597964,-0.000000,0.0000000.136221,0.109639,11.992629,43.491317,-0.000000197,0.000000041,12.064472,43.709623,-0.000000,0.000000
11.796114,43.640089,-0.000000,0.0000000.118014,0.110826,11.746116,43.518761,-0.000000197,0.000000041,11.821947,43.780228,-0.000000,0.000000
11.598403,43.681423,-0.000000,0.0000000.118683,0.110143,11.578109,43.548504,-0.000000197,0.000000040,11.607300,43.819856,-0.000000,0.000000
